id,defineid,en_US,ar_AE,pt_BR,es_AR,ru_RU,uk_UA
30084,stringid_hdmidisconnected,HDMI device is disconnected,تم فصل جهاز HDMI,Dispositivo HDMI está desconectado,El dispositivo HDMI está desconectado,HDMI-устройство отключено,HDMI-пристрій відключено
30085,stringid_auto,AUTO,AUTO,AUTO,AUTOMÁTICO,АВТО,АВТО
30086,stringid_full,FULL,كامل,CHEIO,LLENO,ПОЛНОЕ,ПОВЕН
30087,stringid_invalidformat,Invalid Format,تنسيق غير صالح,Formato Inválido,Formato Inválido,Недопустимый формат,Неприпустимий формат
30088,stringid_nomedia,No Media,بدون الوسائط,Nenhuma Mídia,Sin Medio,Нет Медиа,Немає Медіа
30089,stringid_nomusic,No Music,بدون موسيقى,Sem Música,Sin Música,Нет Музыки,Немає Музики
30090,stringid_novideo,No Video,بدون فيديو,Sem Vídeo,Sin Video,Нет Видео,НемаєВідео
30091,stringid_nophoto,No Photo,بدون صورة,Sem Foto,Sin Foto,Нет Фото,Немає Фото
30092,stringid_pleaseselectafile,Please select a file,الرجاء تحديد ملف,Por favor selecione um arquivo,Por favor selecione un archivo,"Пожалуйста, выберите файл","Будь ласка, виберіть файл"
30093,stringid_unknownartist,Unknown Artist,مؤدي غير معروف,Artista Desconhecido,Artista Desconocido,Неизвестный артист,Невідомий артист
30094,stringid_info2,Info,معلومات,Info,información,Информация,Інформація
30095,stringid_filecannotplay,"File can't be played, please check file content",لا يمكن تشغيل الملف، الرجاء التحقق من محتوى الملف,"O arquivo não pode ser reproduzido, favor verificar o conteúdo do arquivo","El archivo no se puede reproducir, compruebe el contenido del archivo","Невозможно воспроизвести файл, пожалуйста, проверьте контент файла","Неможливо відтворити файл, будь ласка, перевірте контент файлу"
30096,stringid_pleaseinsertusb,Please insert USB,الرجاء إدخال USB,"Por favor, inserir  o USB",Por favor inserte unidad USB,"Пожалуйста, вставьте USB","Будь ласка, вставте USB"
30097,stringid_videonotdriving,Videos is not available while driving,الفيديوهات غير متاحة أثناء القيادة,Vídeos não estão disponíveis quando dirigindo,Video no disponible mientras se conduce,Видео недоступно во время вождения,Відео недоступне під час водіння
30098,stringid_mute,MUTE,كتم الصوت,MUDO,MUDO,БЕЗ ЗВУКА,БЕЗ ЗВУКУ
30099,stringid_wirelessproblem,Wireless connection has problem,اتصال لاسلكي لديه مشكلة,Problemas na conexão sem fio ,Problema con la conexión inalámbrica,Проблема с беспроводным подключением,Проблема з бездротовим підключенням
30100,stringid_wirelessnoresp,Wireless connection no response,اتصال لاسلكي أي رد,Sem resposta na conexão sem fio ,Conexión inalámbrica no responde,Беспроводное подключение не отвечает,Бездротове підключення не відповідає
30101,stringid_wirelessnotsmooth,Wireless connection is not smooth,أداء اتصال لاسلكي ليست جيدة,Conexão sem fio não é estável,La conexión inalámbrica no es estable,Беспроводное подключение негладкое,Бездротове підключення негладкое
30102,stringid_disc2,Disc,أساسي,Disco,Disco,Диск,Диск
30103,stringid_pleaseinsertdisc,Please insert disc,الرجاء إدخال القرص,"Por favor, insira o disco",Por favor inserte un disco,"Пожалуйста, вставьте диск","Будь ласка, вставте диск"
30104,stringid_unsupporteddisc,Unsupported disc,قرص غير مدعوم,Disco não suportado,Disco no soportado,Диск не поддерживается,Диск не підтримується
30105,stringid_loading,Loading...,جارٍ التحميل…,Carregando...,Cargando…,Загрузка,Завантаження
30106,stringid_ejecting,Ejecting...,جارٍ الرفض...,Ejetando...,Expulsar…,Извлечение,Витяг
30107,stringid_track,Track,تتبع,Trilha sonora,Pista,Отследить,Відстеживши
30108,stringid_ipod2,iPod,أي بود,iPod,iPod,iPod,iPod
30109,stringid_notitle,No Title,بدون عنوان,Sem Título,Sin Título,Нет заголовка,Немає заголовка
30110,stringid_unknownartist2,Unknown Artist,مؤدي غير معروف,Artista Desconhecido,Artista Desconocido,Неизвестный артист,Невідомий артист
30111,stringid_unknownalbum,Unknown Album,ألبوم غير معروف,Álbum Desconhecido,Álbum Desconocido,Неизвестный альбом,Невідомий альбом
30112,stringid_allsongs,All Songs,جمع الأغاني,Todas as Músicas,Todas las Canciones,Все песни,Всі пісні
30113,stringid_playlists,Playlists,قوائم التشغيل,Listas de Reprodução,Listas de Reproducción,Плейлисты,Плейлисти
30114,stringid_artists,Artists,المؤدون,Artistas,Artistas,Артисты,Артист
30115,stringid_albums,Albums,الألبومات,Álbuns,Álbumes,Альбомы,Альбом
30116,stringid_genre,Genre,النوع,Gênero,Género,Жанр,Жанр
30117,stringid_composers,Composers,الموسيقيون,Compositores,Compositores,Композиторы,Композитор
30118,stringid_unknown,unknown,غير معروف,desconhecido,Desconocido,неизвестно,невідомий
30119,stringid_plzconnectipod,Please connect iPod or iPhone...,الرجاء توصيل جهاز أي باد أو أي فون...,Por favor conecte o iPod ou o iPhone...,"Por favor, conecte iPod o iPhone …","Пожалуйста, подключитесь к iPod или iPhone","Будь ласка, підключіться до iPod або iPhone"
30120,stringid_mudialoading,Media library loading,تحميل مكتبة الوسائط,Carregamento de biblioteca de mídia,Cargando la biblioteca multimedia,Загрузка медиа-библиотеки,Завантаження медіа-бібліотеки
30121,stringid_ipod3,iPod,iPod,iPod,iPod,iPod,iPod
30122,stringid_podcast,Podcast,بودكاست,Podcast,Podcast,Подкаст,Подкаст
30123,stringid_noalbum,No Album,لا يوجد ألبوم,Sem Álbum,Sin Álbum,Нет альбомов,Немає альбомів
30124,stringid_noartist,No Artist,لا يوجد فنان,Sem Artista,Sin Artista,Нет артистов,Немає артистів
30125,stringid_audiobooks,Audiobooks,الكتب الصوتية,Audiolivros,Libros de Audio,Аудиокниги,Аудіокниги
30126,stringid_itunesu,iTunes U,iTunes U,iTunes U,iTunes U,iTunes U,iTunes U
30127,stringid_phone2,Phone,الهاتف,Celular,Teléfono,Телефон,Телефон
30128,stringid_touchconnectbt,Touch “Connect” ;;to connect with Bluetooth devices,اضغط على ;; “اتصال“ للاتصال بأجهزة البلوتوث,Toque em “Conectar“ ;;para conectar dispositivos Bluetooth,Toque “Conectar“ ;;para conectarse con dispositivos Bluetooth,Нажать “Подключить”;; чтобы подключиться к устройствам-Bluetooth,Натиснути “Підключити”;; щоб підключитися до пристроїв Bluetooth
30129,stringid_connect,Connect,اتصال,Conectar,Conectar,Подключить,Підключити
30130,stringid_favorite,Favorite,المفضلة,Favorito,Favorito,Любимый,Коханий
30131,stringid_missed,Missed,غير موجود,Perdido,Perdida,Отсутствует,Бути відсутнім
30132,stringid_all,All,الكل,Todos,Todas ,Все песни,Всі пісні
30133,stringid_search,Search,بحث,Pesquisar,Buscar,Поиск,Пошук
30134,stringid_waiting,Waiting,قيد الانتظار,Aguardando,Esperando,Ожидание,Очікування
30135,stringid_held,Held,تعليق,Aguarde,Espera,Приостановлено,Призупинений
30136,stringid_music,Music,موسيقى,Música,Música,Музыка,Музика
30137,stringid_calling,Calling...,جارٍ الاتصال...,Ligando...,Llamando...,Вызов,Виклик
30138,stringid_incomingcall,Incoming Call...,مكالمة واردة...,Recebendo Ligação...,Llamada Entrante...,Входящий вызов,Вхідний дзвінок
30139,stringid_clickhereback,Click here to go back to the active call,انقر هنا للعودة إلى الاتصال النشط,Clique p/ voltar a chamada ativa ,Click p/ volver a llamada activa,"Нажмите сюда, чтобы вернуться к активному вызову","Натисніть сюди, щоб повернутися до активного виклику"
30140,stringid_today,Today,اليوم,Hoje,Hoy ,Сегодня,Сьогодні
30141,stringid_yesterday,Yesterday,أمس,Ontem,Ayer,Вчера,Вчора
30142,stringid_monday,Monday,الاثنين,Segunda-feira,Lunes,Понедельник,Понеділок
30143,stringid_tuesday,Tuesday,الثلاثاء,Terça-feira,Martes,Вторник,Вівторок
30144,stringid_wednesday,Wednesday,الأربعاء,Quarta-feira,Miércoles,Среда,Середа
30145,stringid_thursday,Thursday,الخميس,Quinta-feira,Jueves,Четверг,Четвер
30146,stringid_friday,Friday,الجمعة,Sexta-feira,Viernes,Пятница,П'ятниця
30147,stringid_saturday,Saturday,السبت,Sábado,Sábado,Суббота,Субота
30148,stringid_sunday,Sunday,الأحد,Domingo,Domingo,Воскресенье,Неділя
30149,stringid_setup2,Setup,إعداد,Configuração,Configuración,Настройка,Настройка
30150,stringid_legal,Legal,ﻕﺎﻧﻮﻨﻳ,Legal,Legal,Легальный,Легальний
30151,stringid_suretoreset,Are you sure to reset?,ﻪﻟ ﺕﺮﻳﺩ ﺏﺎﻠﺗﺄﻜﻳﺩ ﺈﻋﺍﺩﺓ ﺎﻠﺘﻌﻴﻴﻧ؟,Certeza que quer reiniciar?,¿Está seguro de restablecer?,"Вы уверены, что хотите перезапустить?","Ви впевнені, що хочете перезапустити?"
30152,stringid_naviaudio,Navigation audio,ﺎﻠﻣﻼﺣﺓ ﺎﻠﺻﻮﺘﻳﺓ,Áudio de navegação,Audio de Navegación,Аудио-навигация,Аудіо-навігація
30153,stringid_resetsystem,Reset system to default,إعادة تعيين النظام,Redefinir o sistema ao padrão,Restablecer datos de fábrica,Сбросить настройки системы до настроек по умолчанию,Скинути налаштування системи до налаштувань за замовчуванням
30154,stringid_prayeron,Prayer ON,صلاة على,Oração LIGADO,Reproducción en curso,Режим запроса активирован,Режим запиту активовано
30155,stringid_cautionauto,Caution auto dismiss,الرفض التلقائي للإنذار,Atenção auto fechar,Precaución auto cancelar,Автоматическое отключение предупреждений,Автоматичне відключення попереджень
30156,stringid_settime,Set time,ضبط الوقت,Definir tempo,Establecer hora,Установить время,Встановити час
30157,stringid_setauto,Set automatically,ضبط تلقائي,Definir automaticamente,Establecer automáticamente,Установить автоматически,Встановити автоматично
30158,stringid_timezone,Time zone,المنطقة الزمنية,Fuso horário,Zona Horaria,Временной пояс,Часовий пояс
30159,stringid_24hr,24 Hour time,توقيت 24 ساعة,24 horas,24 horas,Время в формате “24 часа”,Час у форматі “24 години”
30160,stringid_datetime,Date & Time,التاريخ/الوقت,Data e hora,Fecha y Hora,Дата и время,Дата і час
30161,stringid_voicelanguage,Voice language,لغة المكالمة الصوتية,Idioma da voz,Idioma de voz,Голосовой язык,Голосова мова
30162,stringid_systemlanguage,System language,النظام اللغة,Idioma do sistema,Idioma del sistema,Язык системы,Мова системи
30163,stringid_reset,Reset,إعادة تعيين,Resetar,Restablecer,Перезапустить,Перезапустивши
30164,stringid_chroma,Chroma,مفتاح كروما,Croma,Croma,Хроматичность,Хроматичность
30165,stringid_contrast,Contrast,التباين,Contraste,Contraste,Контраст,Контраст
30166,stringid_brightness,Brightness,السطوع,Brilho,Brillo,Яркость,Яскравість
30167,stringid_autodimmer,Auto dimmer,تلاشي تلقائي,Auto regulador,Intensidad automática,Автоматический регулятор подсветки,Автоматичний регулятор підсвічування
30168,stringid_bas,BAS,BAS,BAS,BAS,BAS,BAS
30169,stringid_mid,MID,MID,MID,MID,MID,MID
30170,stringid_tre,TRE,TRE,TRE,TRE,TRE,TRE
30171,stringid_eq,EQ,EQ,EQ,EQ,EQ,EQ
30175,stringid_clicksound,Click sound,انقر فوق الصوت,Som de clique ,Pitido,Звук клика,Звук кліка
30176,stringid_no,No,لا,Não,No,Нет,Ні
30177,stringid_yes,Yes,نعم,Sim,Sí,Да,Да
30178,stringid_acceptbtconn,Accept Bluetooth connection from ,قبول اتصال البلوتوث من قبل ,Aceitar conexão Bluetooth de ,Aceptar Conexión Bluetooth de ,Принять форму подключения по Bluetooth,Прийняти форму підключення по Bluetooth
30179,stringid_douwantremove,Do you want to remove this bluetooth paired device?,هل تريد إزالة جهاز البلوتوث المقترن؟,Você quer remover este dispositivo emparelhado bluetooth?,Desea eliminar este dispositivo Bluetooth emparejado?,"Вы хотите удалить устройство, сопряженное по Bluetooth?","Ви хочете видалити пристрій, пов'язаний з Bluetooth?"
30180,stringid_ok,OK,موافق,OK,OK,ОК,ОК
30181,stringid_maxnumberpaired,"Maximum number of paired devices has been reached, please remove one of the paired devices",تم الوصول إلى الحد الأقصى لعدد الأجهزة المقترنة، يرجى إزالة أحد الأجهزة المقترة,"Número máximo de dispositivos emparelhados foi atingido, remova um dos dispositivos emparelhados",Se ha alcanzado la cantidad máxima de dispositivos emparejados. Elimine uno de los dispositivos.,"Достигнуто максимальное количество сопряженных устройств, пожалуйста, удалите одно из сопряженных устройств","Досягнуто максимальну кількість сполучених пристроїв, будь ласка, видаліть одне з сполучених пристроїв"
30182,stringid_warning,Warning,تحذير,Atenção,Advertencia,Внимание,Увага
30183,stringid_contactphoto,Contact photo,صورة جهة الاتصال,Foto do Contato ,Foto de contacto,Фото контакта,Фото контакту
30184,stringid_autoconnect,Auto connect,اتصال تلقائي,Conexão automática,Autoconectar,Автоматическое подключение,Автоматичне підключення
30185,stringid_autoanswer,Auto answer,إجابة تلقائية,Resposta automática,Respuesta automática,Автоматический ответ,Автоматична відповідь
30186,stringid_name,Name,الاسم,Nome,Nombre,Имя устройства:,Ім'я пристрою:
30187,stringid_nodevices,No devices,بدون أجهزة,Sem dispositivos,Sin dispositivos,Нет устройств,Немає пристроїв
30188,stringid_availabledev,Available devices,الأجهزة المتاحة,Dispositivos disponíveis,Dispositivos disponibles,Доступные устройства,Доступні пристрої
30189,stringid_bluetooth,Bluetooth,البلوتوث,Bluetooth,Bluetooth,Bluetooth,Bluetooth
30190,stringid_passworderror,Password error,خطأ في كلمة المرور,Senha errada,Error de contraseña,Ошибка ввода пароля,Помилка введення пароля
30191,stringid_enterpassword,Enter the password,أدخل كلمة المرور,Digite a senha,Introduzca la contraseña,Ввести пароль,Ввести пароль
30192,stringid_4gconn,4G Connection,اتصال بشبكة 4G,Conexão 4G,Conexión 4G,Соединение 4G,З'єднання 4G
30193,stringid_wifi,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi,Wi-Fi
30194,stringid_pictureslide,Picture slideshow timing (sec),مؤقت عرض شرائح الصور (بالثانية),Tempo de apresentação da imagem (seg),Tiempo de presentación de diapositivas (seg),Время слайд-шоу изображений (сек),Час слайд-шоу зображень (сек)
